key_id,press_time,release_time
n,1789058431.32095,1789058431.402
Key.space,1789058431.535701,1789058431.5866308
Key.shift,1789058431.5137155,1789058431.6752138
i,1789058431.709964,1789058431.818016
m,1789058431.8623738,1789058431.9241416
Key.space,1789058431.9915233,1789058432.057906
n,1789058432.1449785,1789058432.2368286
o,1789058432.275534,1789058432.4337702
t,1789058432.4337702,1789058432.4857693
Key.space,1789058432.499361,1789058432.6103702
t,1789058432.971519,1789058433.0566697
h,1789058433.0526042,1789058433.1226902
e,1789058433.1744773,1789058433.2665496
n,1789058433.2776792,1789058433.336099
Key.space,1789058433.4215765,1789058433.4923384
Key.shift,1789058433.471761,1789058433.600504
i,1789058433.6076195,1789058433.6827366
m,1789058433.7537887,1789058433.8025415
m,1789058433.880918,1789058433.9334335
a,1789058433.9712245,1789058434.0451958
Key.space,1789058434.080645,1789058434.1561544
s,1789058434.1561544,1789058434.2551334
t,1789058434.2753832,1789058434.3457024
o,1789058434.3457024,1789058434.4075775
p,1789058434.4855661,1789058434.5832522
Key.space,1789058434.7126603,1789058434.7882462
p,1789058434.906415,1789058435.003991
e,1789058434.9797418,1789058435.066207
n,1789058435.1242795,1789058435.184756
n,1789058435.2458222,1789058435.3025062
i,1789058435.3360507,1789058435.4807909
n,1789058435.4665036,1789058435.5204613
g,1789058435.5693073,1789058435.607246
Key.space,1789058435.6514614,1789058435.735649
e,1789058435.7887208,1789058435.8635092
",",1789058435.887244,1789058435.9291685
Key.backspace,1789058436.4437406,1789058436.5197692
m,1789058436.662414,1789058436.7079434
Key.space,1789058436.8384595,1789058436.8938847
a,1789058436.9835649,1789058437.04128
n,1789058437.0681581,1789058437.1284351
d,1789058437.2683983,1789058437.3347263
Key.space,1789058437.4373877,1789058437.4972196
I,1789058412.5794322,1789058437.7558486
Key.shift,1789058437.5351036,1789058437.7684207
m,1789058437.8353136,1789058437.9034293
Key.space,1789058438.029469,1789058438.0764055
j,1789058438.2143514,1789058438.274686
u,1789058438.346736,1789058438.4346514
s,1789058438.4599478,1789058438.5689156
t,1789058438.5603304,1789058438.6341271
Key.space,1789058438.6043296,1789058438.670411
n,1789058438.7637944,1789058438.838402
o,1789058438.8860958,1789058439.023182
t,1789058439.0221765,1789058439.1071286
Key.space,1789058439.225555,1789058439.2966802
h,1789058439.5311332,1789058439.5953057
i,1789058439.6489198,1789058439.7539117
[,1789058439.858665,1789058439.9481037
h,1789058440.0998738,1789058440.1638284
j,1789058440.0998738,1789058440.1644344
p,1789058440.325786,1789058440.3717628
Key.backspace,1789058440.545821,1789058440.6115859
Key.backspace,1789058440.676539,1789058440.7475235
Key.backspace,1789058440.8213775,1789058440.882846
Key.backspace,1789058440.956345,1789058441.0471385
Key.backspace,1789058443.340606,1789058443.4203842
Key.backspace,1789058443.5138924,1789058443.5783787
Key.backspace,1789058443.6825337,1789058443.7461498
Key.backspace,1789058445.877568,1789058445.9513056
Key.backspace,1789058446.0663028,1789058446.119103
Key.backspace,1789058446.2046313,1789058446.2646616
Key.backspace,1789058446.3568919,1789058446.4126031
Key.backspace,1789058446.503175,1789058446.5673592
Key.backspace,1789058446.662308,1789058446.7282188
Key.backspace,1789058446.8341022,1789058446.90053
Key.backspace,1789058447.2784052,1789058447.3818903
n,1789058447.636945,1789058447.7451863
o,1789058447.8056643,1789058447.9233394
t,1789058447.9243476,1789058448.015107
Key.space,1789058448.055461,1789058448.1470976
h,1789058448.2037187,1789058448.3055308
i,1789058448.3430429,1789058448.4269748
p,1789058448.5507019,1789058448.679896
h,1789058448.9184444,1789058449.0060525
o,1789058449.012491,1789058449.0822935
p,1789058449.1901948,1789058449.2585974
Key.space,1789058449.3926613,1789058449.4667902
a,1789058449.5054626,1789058449.5955539
n,1789058449.585054,1789058449.6549776
d,1789058449.689297,1789058449.786486
Key.space,1789058449.7709286,1789058449.8167412
i,1789058449.8993397,1789058450.0014946
m,1789058450.07102,1789058450.1253762
Key.space,1789058450.2478058,1789058450.2661798
n,1789058450.3667543,1789058450.4361053
Key.backspace,1789058450.7633846,1789058450.814022
j,1789058451.155763,1789058451.2388766
u,1789058451.479269,1789058451.58497
s,1789058451.612429,1789058451.729354
t,1789058451.6975296,1789058451.7873697
Key.space,1789058451.7985244,1789058451.8554127
n,1789058451.9574864,1789058452.031615
o,1789058452.081864,1789058452.22898
t,1789058452.2084064,1789058452.2815018
Key.space,1789058452.3334904,1789058452.42058
e,1789058452.5621371,1789058452.659768
m,1789058452.6642718,1789058452.742431
i,1789058452.7994745,1789058452.9378483
n,1789058452.9168787,1789058452.999035
e,1789058453.046713,1789058453.145365
m,1789058453.1547146,1789058453.2674503
.,1789058454.3187008,1789058454.4241867
Key.space,1789058454.6289878,1789058454.6776924
Key.shift,1789058454.682954,1789058454.8733432
s,1789058454.8875427,1789058455.0133126
u,1789058455.0888734,1789058455.1734402
b,1789058455.2047791,1789058455.2934172
l,1789058455.4783053,1789058455.5332847
i,1789058455.650074,1789058455.7378695
m,1789058455.797906,1789058455.878277
i,1789058455.9682667,1789058456.0701983
n,1789058456.509525,1789058456.5554492
a,1789058456.627008,1789058456.7229724
l,1789058456.752835,1789058456.8313804
Key.space,1789058456.9569595,1789058457.016973
t,1789058457.0332499,1789058457.116859
h,1789058457.2104146,1789058457.2522202
o,1789058457.3379996,1789058457.4120228
u,1789058457.4303284,1789058457.538017
g,1789058457.5425026,1789058457.6159048
h,1789058457.6858358,1789058457.7621877
t,1789058457.7632294,1789058457.8499358
