key_id,press_time,release_time
Key.shift,1788966871.763167,1788966872.098662
Key.space,1788966872.4352667,1788966872.5527844
o,1788966873.8942428,1788966873.9886222
n,1788966874.1216593,1788966874.1837883
Key.backspace,1788966874.4515345,1788966874.5267832
Key.backspace,1788966874.6073372,1788966874.6779602
w,1788966874.8936453,1788966874.9861612
h,1788966874.9726923,1788966875.0417707
y,1788966875.1530051,1788966875.2171223
Key.space,1788966875.2944047,1788966875.4162314
w,1788966875.4872844,1788966875.611123
e,1788966875.5913682,1788966875.7347631
Key.space,1788966875.6792972,1788966875.8018396
p,1788966875.893897,1788966875.9824133
a,1788966875.9925103,1788966876.1175714
s,1788966876.2664902,1788966876.351202
s,1788966876.4289415,1788966876.547104
Key.space,1788966876.7122786,1788966876.8186185
o,1788966877.0489078,1788966877.118611
n,1788966877.237801,1788966877.2903128
Key.shift_r,1788966877.5909371,1788966877.8711913
p,1788966878.7226462,1788966878.7908814
r,1788966878.8226192,1788966878.9160907
e,1788966878.987657,1788966879.1244426
s,1788966879.1373837,1788966879.2110863
s,1788966879.4904258,1788966879.587371
Key.space,1788966879.7920287,1788966879.8944411
i,1788966880.0261047,1788966880.1018453
n,1788966880.2225912,1788966880.2773173
s,1788966880.250975,1788966880.348651
t,1788966880.4095757,1788966880.5054724
e,1788966880.5989792,1788966880.7051308
a,1788966880.6788173,1788966880.8035169
d,1788966881.175366,1788966881.2727165
Key.space,1788966881.3089712,1788966881.4388404
o,1788966881.4326794,1788966881.514945
f,1788966881.5230327,1788966881.6574838
Key.space,1788966881.6433055,1788966881.7421193
p,1788966881.89974,1788966881.9938757
Key.backspace,1788966882.2065444,1788966882.3035169
o,1788966882.3673751,1788966882.4804976
n,1788966882.5220454,1788966882.631496
Key.shift_r,1788966882.8123298,1788966883.2388473
o,1788966883.3978262,1788966883.4389231
p,1788966883.392277,1788966883.4476295
r,1788966883.4256537,1788966883.5210035
Key.backspace,1788966883.9668245,1788966884.0341032
Key.backspace,1788966884.1215134,1788966884.180826
r,1788966884.1908314,1788966884.250715
e,1788966884.3397386,1788966884.4801817
s,1788966884.4756615,1788966884.5720618
s,1788966884.6456473,1788966884.7338116
(,1788966884.9979317,1788966885.0669456
),1788966885.161348,1788966885.248878
?,1788966885.8013315,1788966885.8759375
Key.shift_r,1788966884.7549925,1788966886.0220218
Key.space,1788966886.0474377,1788966886.1526008
b,1788966887.2858121,1788966887.385753
e,1788966887.3688586,1788966887.477866
c,1788966887.5937302,1788966887.7489338
a,1788966887.7426648,1788966887.889657
u,1788966887.9696946,1788966888.0171402
y,1788966887.9674027,1788966888.023724
s,1788966888.0535076,1788966888.1636
e,1788966888.145727,1788966888.2569816
Key.backspace,1788966888.3318381,1788966888.4089313
Key.backspace,1788966888.4749186,1788966888.5521073
